good_bid,index_bid
11501058,559
505613,560
6540340,561
2349646,562
10673099,563
400592,564
8303666,565
8436551,566
11235206,567
7210332,568
28014814,569
8300693,570
7141285,571
1877493,572
1201811,573
30975755,574
6431225,575
13615999,576
10587351,577
11638634,578
1385020,579
20657855,580
20416766,581
2232071,582
7946890,583
718946,584
7371225,585
18080837,586
10797936,587
494670,588
11458027,589
2418193,590
16678397,591
665270,592
22297659,593
11090631,594
6418496,595
2311449,596
1759893,597
18265,598
10291289,599
438209,600
1481267,601
24970858,602
257055,603
9485716,604
941252,605
9650005,606
2072189,607
2644931,608
3784205,609
25140319,610
99753,611
6129779,612
24515,613
25001397,614
6597519,615
99319,616
8183818,617
11918018,618
35417297,619
1697813,620
2366659,621
1853179,622
8139473,623
11023780,624
19295213,625
34107663,626
22612582,627
5948252,628
218094,629
1853208,630
9512348,631
5995997,632
4953893,633
30190414,634
17365480,635
344230,636
437518,637
1742436,638
24792076,639
30305439,640
22882139,641
661088,642
6283858,643
11317230,644
28765327,645
1237603,646
752888,647
1251081,648
704021,649
7959568,650
7464550,651
3728021,652
5198290,653
1248728,654
19272167,655
6054362,656
9426978,657
18908151,658
959501,659
12255399,660
12930091,661
1813399,662
8300724,663
8706696,664
18622627,665
18880118,666
1432728,667
10335540,668
6497728,669
25943,670
7840422,671
2154956,672
18877953,673
2366229,674
21307615,675
2805247,676
19215193,677
8568120,678
7277922,679
13060785,680
19328636,681
1258830,682
12624696,683
533470,684
884055,685
6924139,686
10788772,687
3082251,688
23471747,689
896480,690
3677602,691
10297461,692
6944899,693
18715654,694
10179402,695
9867049,696
12936619,697
412004,698
2209665,699
6282585,700
16056758,701
1704242,702
16678410,703
6350649,704
575841,705
1651250,706
18918771,707
9491986,708
13634435,709
6473261,710
4906078,711
8591391,712
19192608,713
16678412,714
11481212,715
2686788,716
7084612,717
19123006,718
2366498,719
18719487,720
1265718,721
3219887,722
948849,723
852724,724
31084532,725
126910,726
4461831,727
16678394,728
9506370,729
2366363,730
8438716,731
2081798,732
514667,733
19269879,734
1790589,735
10938404,736
2342453,737
7075154,738
2189954,739
6335228,740
2686833,741
16434981,742
1178686,743
11074280,744
4068925,745
10700376,746
2366491,747
3137202,748
7675037,749
830410,750
8757338,751
1571052,752
29955543,753
3486404,754
1657392,755
8514833,756
10170478,757
5195604,758
8356236,759
797876,760
15802925,761
2632728,762
4111593,763
2578535,764
6350680,765
1248713,766
2967055,767
843426,768
30052531,769
12596099,770
1237582,771
12061122,772
10144868,773
27714268,774
159790,775
27824819,776
2849747,777
11696751,778
18922593,779
14451214,780
11300801,781
10132949,782
1000856,783
795526,784
3409732,785
318875,786
9719609,787
5494385,788
2769141,789
4253047,790
18998864,791
18858442,792
600278,793
17933495,794
1606230,795
1645670,796
8013727,797
8539498,798
1132373,799
19071483,800
11066662,801
19148981,802
8430845,803
26215761,804
1610015,805
1057796,806
8702351,807
6338078,808
1000857,809
7941464,810
7195039,811
904680,812
1327,813
4698524,814
5601598,815
4618393,816
2763284,817
6560768,818
17673341,819
22605602,820
1932560,821
220404,822
284378,823
26481427,824
19069909,825
398138,826
19116679,827
2670305,828
22007393,829
8890907,830
8488268,831
14451219,832
33912216,833
